offset,address,idle,live1,live2,post,stable_live,stable_nonzero,changed_from_idle,returns_to_idle
0x01b0,0x0ace81b0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01b4,0x0ace81b4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01b8,0x0ace81b8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01bc,0x0ace81bc,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01c0,0x0ace81c0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01c4,0x0ace81c4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01c8,0x0ace81c8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01cc,0x0ace81cc,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01d0,0x0ace81d0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01d4,0x0ace81d4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01d8,0x0ace81d8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01dc,0x0ace81dc,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01e0,0x0ace81e0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01e4,0x0ace81e4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01e8,0x0ace81e8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01ec,0x0ace81ec,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01f0,0x0ace81f0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01f4,0x0ace81f4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01f8,0x0ace81f8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01fc,0x0ace81fc,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0200,0x0ace8200,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0204,0x0ace8204,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0208,0x0ace8208,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x020c,0x0ace820c,0x80000000,0x00000022,0x00000022,0x80000000,True,True,True,True
0x0210,0x0ace8210,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0214,0x0ace8214,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0218,0x0ace8218,0x80000000,0x0000003e,0x0000003e,0x80000000,True,True,True,True
0x021c,0x0ace821c,0x80000000,0x00000041,0x00000041,0x80000000,True,True,True,True
0x0220,0x0ace8220,0x80000000,0x00000041,0x00000041,0x80000000,True,True,True,True
0x0224,0x0ace8224,0x80000000,0x0000007f,0x0000007f,0x80000000,True,True,True,True
