client,name,register,offset,role,live1,live2,stable
14,STATS_AWB_BG,system_cache_cfg,0x1c68,writable_config,0x00000000,0x00000000,1
14,STATS_AWB_BG,addr_status0,0x1c70,status_readback,0x168c0000,0x170b8000,0
14,STATS_AWB_BG,addr_status1,0x1c74,status_readback,0x00000000,0x00000000,1
14,STATS_AWB_BG,addr_status2,0x1c78,status_readback,0x00000000,0x00000000,1
14,STATS_AWB_BG,addr_status3,0x1c7c,status_readback,0x168c0000,0x170b8000,0
14,STATS_AWB_BG,debug_status_cfg,0x1c80,writable_debug_config,0x00000000,0x00000000,1
14,STATS_AWB_BG,debug_status0,0x1c84,status_readback,0x00000000,0x00000000,1
14,STATS_AWB_BG,debug_status1,0x1c88,status_readback,0x00000000,0x00000000,1
15,STATS_AWB_BFW,cfg,0x1d00,writable_config,0x00000010,0x00000010,1
15,STATS_AWB_BFW,image_addr,0x1d04,dynamic_buffer_address,0x00000000,0x00000000,1
15,STATS_AWB_BFW,frame_incr,0x1d08,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,image_cfg0,0x1d0c,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,image_cfg1,0x1d10,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,image_cfg2,0x1d14,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,packer_cfg,0x1d18,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,bw_limit,0x1d1c,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,frame_header_addr,0x1d20,dynamic_buffer_address,0x00000000,0x00000000,1
15,STATS_AWB_BFW,frame_header_incr,0x1d24,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,frame_header_cfg,0x1d28,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,irq_subsample_period,0x1d30,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,irq_subsample_pattern,0x1d34,writable_config,0xffffffff,0xffffffff,1
15,STATS_AWB_BFW,framedrop_period,0x1d38,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,framedrop_pattern,0x1d3c,writable_config,0xffffffff,0xffffffff,1
15,STATS_AWB_BFW,meta_addr,0x1d40,dynamic_buffer_address,0x00000000,0x00000000,1
15,STATS_AWB_BFW,meta_cfg,0x1d44,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,mode_cfg,0x1d48,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,stats_ctrl,0x1d4c,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,ctrl_2,0x1d50,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,lossy_thresh0,0x1d54,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,lossy_thresh1,0x1d58,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,lossy_var_offset,0x1d5c,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,mmu_prefetch_cfg,0x1d60,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,mmu_prefetch_max_offset,0x1d64,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,system_cache_cfg,0x1d68,writable_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,addr_status0,0x1d70,status_readback,0x00000000,0x00000000,1
15,STATS_AWB_BFW,addr_status1,0x1d74,status_readback,0x00000000,0x00000000,1
15,STATS_AWB_BFW,addr_status2,0x1d78,status_readback,0x00000000,0x00000000,1
15,STATS_AWB_BFW,addr_status3,0x1d7c,status_readback,0x00000000,0x00000000,1
15,STATS_AWB_BFW,debug_status_cfg,0x1d80,writable_debug_config,0x00000000,0x00000000,1
15,STATS_AWB_BFW,debug_status0,0x1d84,status_readback,0x00000000,0x00000000,1
15,STATS_AWB_BFW,debug_status1,0x1d88,status_readback,0x00000000,0x00000000,1
16,STATS_BAF,cfg,0x1e00,writable_config,0x00000010,0x00000010,1
16,STATS_BAF,image_addr,0x1e04,dynamic_buffer_address,0x00000000,0x00000000,1
16,STATS_BAF,frame_incr,0x1e08,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,image_cfg0,0x1e0c,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,image_cfg1,0x1e10,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,image_cfg2,0x1e14,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,packer_cfg,0x1e18,writable_config,0x00000000,0x00000000,1
