register_offset,absolute_address,public_name,ownership_class,basis,write_count,packet_coverage,distinct_value_count,distinct_values,within_packet_value_change,independent_windows_live_volatile,dmi_associated_control,dmi_associated_phase_variant
0x498c,0x0ac7598c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00500000,0,0,0,0
0x49a0,0x0ac759a0,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x03031010,0,0,0,0
0x49a4,0x0ac759a4,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x19800000,0,0,0,0
0x49a8,0x0ac759a8,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x10000000,0,0,0,0
0x49ac,0x0ac759ac,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x01230123,0,0,0,0
0x49b0,0x0ac759b0,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000000,0,0,0,0
0x49b4,0x0ac759b4,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00a00040,0,0,0,0
0x49b8,0x0ac759b8,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0xa09a0000,0,0,0,0
0x49bc,0x0ac759bc,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0xa09a0000,0,0,0,0
0x49c8,0x0ac759c8,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x028f0000,0,0,0,0
0x49cc,0x0ac759cc,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x0a3c05c2,0,0,0,0
0x49d0,0x0ac759d0,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0xffffffff,0,0,0,0
0x49d4,0x0ac759d4,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0xffffffff,0,0,0,0
0x49d8,0x0ac759d8,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0xb1e4a0c8,0,0,0,0
