stream_offset,command,register_offset,absolute_address,value,outside_linux_0x4000_mapping
0x0044,REG_CONT,0x005ce8,0x0ac76ce8,0x000008c9,1
0x0044,REG_CONT,0x005cec,0x0ac76cec,0x000008f2,1
0x0044,REG_CONT,0x005cf0,0x0ac76cf0,0x0000091c,1
0x0044,REG_CONT,0x005cf4,0x0ac76cf4,0x00000946,1
0x0044,REG_CONT,0x005cf8,0x0ac76cf8,0x00000972,1
0x0044,REG_CONT,0x005cfc,0x0ac76cfc,0x0000099e,1
0x0044,REG_CONT,0x005d00,0x0ac76d00,0x000009cb,1
0x0044,REG_CONT,0x005d04,0x0ac76d04,0x000009f9,1
0x0044,REG_CONT,0x005d08,0x0ac76d08,0x00000a28,1
0x0044,REG_CONT,0x005d0c,0x0ac76d0c,0x00000a58,1
0x0044,REG_CONT,0x005d10,0x0ac76d10,0x00000a89,1
0x0044,REG_CONT,0x005d14,0x0ac76d14,0x00000aba,1
0x0044,REG_CONT,0x005d18,0x0ac76d18,0x00000aed,1
0x0044,REG_CONT,0x005d1c,0x0ac76d1c,0x00000b20,1
0x0044,REG_CONT,0x005d20,0x0ac76d20,0x00000b55,1
0x0044,REG_CONT,0x005d24,0x0ac76d24,0x00000b8b,1
0x0044,REG_CONT,0x005d28,0x0ac76d28,0x00000bc2,1
0x0044,REG_CONT,0x005d2c,0x0ac76d2c,0x00000bf9,1
0x0044,REG_CONT,0x005d30,0x0ac76d30,0x00000c32,1
0x0044,REG_CONT,0x005d34,0x0ac76d34,0x00000c6c,1
0x0044,REG_CONT,0x005d38,0x0ac76d38,0x00000ca8,1
0x0044,REG_CONT,0x005d3c,0x0ac76d3c,0x00000ce4,1
0x0044,REG_CONT,0x005d40,0x0ac76d40,0x00000d22,1
0x0044,REG_CONT,0x005d44,0x0ac76d44,0x00000d61,1
0x0044,REG_CONT,0x005d48,0x0ac76d48,0x00000da1,1
0x0044,REG_CONT,0x005d4c,0x0ac76d4c,0x00000de3,1
0x0044,REG_CONT,0x005d50,0x0ac76d50,0x00000e26,1
0x0044,REG_CONT,0x005d54,0x0ac76d54,0x00000e6a,1
0x0044,REG_CONT,0x005d58,0x0ac76d58,0x00000eb0,1
0x0044,REG_CONT,0x005d5c,0x0ac76d5c,0x00000ef7,1
0x0044,REG_CONT,0x005d60,0x0ac76d60,0x00000f40,1
0x0044,REG_CONT,0x005d64,0x0ac76d64,0x00000f8a,1
0x0044,REG_CONT,0x005d68,0x0ac76d68,0x00000fd6,1
0x0044,REG_CONT,0x005d6c,0x0ac76d6c,0x00001023,1
0x0044,REG_CONT,0x005d70,0x0ac76d70,0x00001072,1
0x0044,REG_CONT,0x005d74,0x0ac76d74,0x000010c3,1
0x0044,REG_CONT,0x005d78,0x0ac76d78,0x00001115,1
0x0044,REG_CONT,0x005d7c,0x0ac76d7c,0x0000116a,1
0x0044,REG_CONT,0x005d80,0x0ac76d80,0x000011c0,1
0x0044,REG_CONT,0x005d84,0x0ac76d84,0x00001218,1
0x0044,REG_CONT,0x005d88,0x0ac76d88,0x00001272,1
0x0044,REG_CONT,0x005d8c,0x0ac76d8c,0x000012ce,1
0x0044,REG_CONT,0x005d90,0x0ac76d90,0x0000132b,1
0x0044,REG_CONT,0x005d94,0x0ac76d94,0x0000138b,1
0x0044,REG_CONT,0x005d98,0x0ac76d98,0x000013ee,1
0x0044,REG_CONT,0x005d9c,0x0ac76d9c,0x00001452,1
0x0044,REG_CONT,0x005da0,0x0ac76da0,0x000014b8,1
0x0044,REG_CONT,0x005da4,0x0ac76da4,0x00001521,1
0x0044,REG_CONT,0x005da8,0x0ac76da8,0x0000158c,1
0x0044,REG_CONT,0x005dac,0x0ac76dac,0x000015fa,1
