index,address,data,addr_type,data_type,operation,delay_us,slave_override
242,0x810b,0x1e,2,1,0,0,
243,0x810c,0x1e,2,1,0,0,
244,0x810d,0x1f,2,1,0,0,
245,0x810e,0x00,2,1,0,0,
246,0x8168,0x0b,2,1,0,0,
247,0x8169,0x0b,2,1,0,0,
248,0x816a,0x09,2,1,0,0,
249,0x816b,0x0f,2,1,0,0,
250,0x816c,0x0f,2,1,0,0,
251,0x816d,0x0f,2,1,0,0,
252,0x816e,0x0b,2,1,0,0,
253,0x816f,0x0b,2,1,0,0,
254,0x8170,0x0a,2,1,0,0,
255,0x8171,0x0f,2,1,0,0,
256,0x8172,0x0f,2,1,0,0,
257,0x8173,0x0f,2,1,0,0,
258,0x8174,0x0d,2,1,0,0,
259,0x8175,0x0c,2,1,0,0,
260,0x8176,0x09,2,1,0,0,
261,0x8177,0x0f,2,1,0,0,
262,0x8178,0x0f,2,1,0,0,
263,0x8179,0x0f,2,1,0,0,
264,0x817a,0x0c,2,1,0,0,
265,0x817b,0x0d,2,1,0,0,
266,0x817c,0x09,2,1,0,0,
267,0x817d,0x0f,2,1,0,0,
268,0x817e,0x0f,2,1,0,0,
269,0x817f,0x0f,2,1,0,0,
270,0x8180,0x0d,2,1,0,0,
271,0x8181,0x0d,2,1,0,0,
272,0x8182,0x09,2,1,0,0,
273,0x8183,0x0f,2,1,0,0,
274,0x8184,0x0f,2,1,0,0,
275,0x8185,0x0f,2,1,0,0,
276,0x81b0,0x03,2,1,0,0,
277,0x81e3,0x04,2,1,0,0,
278,0x81e4,0x04,2,1,0,0,
279,0x81e9,0x04,2,1,0,0,
280,0x81ea,0x04,2,1,0,0,
281,0x81ef,0x04,2,1,0,0,
282,0x81f0,0x04,2,1,0,0,
283,0x9186,0x00,2,1,0,0,
284,0xd030,0x01,2,1,0,0,
285,0xd04c,0x10,2,1,0,0,
286,0xd123,0x75,2,1,0,0,
287,0xd144,0x10,2,1,0,0,
288,0xd1af,0x08,2,1,0,0,
289,0xd1bd,0x67,2,1,0,0,
290,0xd1d4,0x04,2,1,0,0,
291,0xd1d5,0x04,2,1,0,0,
292,0xd1d6,0x07,2,1,0,0,
293,0xd1d7,0x07,2,1,0,0,
294,0xd1d9,0x40,2,1,0,0,
295,0xd1db,0x58,2,1,0,0,
296,0xd1dd,0xd4,2,1,0,0,
297,0xd1df,0xd4,2,1,0,0,
298,0xd1e1,0xd4,2,1,0,0,
299,0xd348,0x0f,2,1,0,0,
300,0xd357,0x00,2,1,0,0,
301,0xd3ae,0x11,2,1,0,0,
302,0xd3af,0x44,2,1,0,0,
303,0xd3b1,0x7d,2,1,0,0,
304,0xd803,0xf0,2,1,0,0,
305,0xd80b,0xf0,2,1,0,0,
306,0xd813,0xf1,2,1,0,0,
307,0xd81b,0xf0,2,1,0,0,
308,0xd843,0xf1,2,1,0,0,
309,0xd84f,0xf0,2,1,0,0,
310,0xd934,0x23,2,1,0,0,
311,0xd935,0xc8,2,1,0,0,
312,0xd938,0x27,2,1,0,0,
313,0xd939,0x10,2,1,0,0,
314,0xd93a,0x23,2,1,0,0,
315,0xd93b,0xc8,2,1,0,0,
316,0xd955,0x07,2,1,0,0,
317,0xd95a,0x04,2,1,0,0,
318,0xd95b,0x0a,2,1,0,0,
319,0xd95c,0x1e,2,1,0,0,
320,0xd95d,0x00,2,1,0,0,
321,0xd95e,0x14,2,1,0,0,
322,0xd95f,0x21,2,1,0,0,
323,0xd960,0x00,2,1,0,0,
324,0xd961,0x00,2,1,0,0,
325,0xd962,0x0a,2,1,0,0,
326,0xd963,0x50,2,1,0,0,
327,0xd964,0x0a,2,1,0,0,
328,0xd965,0xa0,2,1,0,0,
329,0xd966,0x00,2,1,0,0,
330,0xd967,0x28,2,1,0,0,
331,0xd968,0x0a,2,1,0,0,
332,0xd969,0x50,2,1,0,0,
333,0xd96a,0x0a,2,1,0,0,
334,0xd96b,0xa0,2,1,0,0,
335,0xd96c,0x00,2,1,0,0,
336,0xd96d,0x00,2,1,0,0,
337,0xd96e,0x0a,2,1,0,0,
338,0xd96f,0x44,2,1,0,0,
339,0xd970,0x0a,2,1,0,0,
340,0xd971,0x50,2,1,0,0,
341,0xd972,0x00,2,1,0,0,
342,0xd973,0x00,2,1,0,0,
343,0xd974,0x0a,2,1,0,0,
344,0xd975,0x44,2,1,0,0,
345,0xd976,0x0a,2,1,0,0,
346,0xd977,0x50,2,1,0,0,
347,0xda10,0x00,2,1,0,0,
348,0xda11,0x14,2,1,0,0,
349,0xda12,0x64,2,1,0,0,
350,0xda13,0x00,2,1,0,0,
351,0xda14,0x14,2,1,0,0,
352,0xda15,0xc8,2,1,0,0,
353,0xda22,0x00,2,1,0,0,
354,0xda23,0x56,2,1,0,0,
355,0xda24,0x00,2,1,0,0,
356,0xda25,0xb5,2,1,0,0,
357,0xda26,0x00,2,1,0,0,
358,0xda27,0xe8,2,1,0,0,
359,0xda28,0x08,2,1,0,0,
360,0xda29,0xa6,2,1,0,0,
361,0xda2a,0x00,2,1,0,0,
362,0xda2b,0xa2,2,1,0,0,
363,0xda2f,0x01,2,1,0,0,
